Old Code,Item No. (Unique SKU code),Item/Service Description,New Item/Service Description for Tax,Item Group,Product,Category,Packing Type,Product Type,Packing Size,Section
1002,1002,GAZAL PUTTUPODI 1 KG,NOOR GAZAL PUTTUPODI 1 KG,FINISHED GOODS,PUTTUPODI,CEREALS & FLOUR,PILLOW,POWDER,1000,MASALA TABLE
1003,1003,GAZAL RICE FLOUR 1 KG,NOOR GAZAL RICE FLOUR 1 KG,FINISHED GOODS,RICE FLOUR,CEREALS & FLOUR,PILLOW,POWDER,1000,FFS MASALA
1005,1005,GAZAL RICE FLOUR 2 KG,NOOR GAZAL RICE FLOUR 2 KG,FINISHED GOODS,RICE FLOUR,CEREALS & FLOUR,PILLOW,POWDER,2000,FFS MASALA
1011,1011,GAZAL CORN FLOUR 1 KG,NOOR GAZAL CORN FLOUR 1 KG,FINISHED GOODS,CORN FLOUR,CEREALS & FLOUR,PILLOW,POWDER,1000,MASALA TABLE
1014,1014,GAZAL GRAMFLOUR 15 KG,NOOR GAZAL GRAMFLOUR 15 KG,FINISHED GOODS,GRAM FLOUR,CEREALS & FLOUR,BAG,POWDER,15000,MASALA TABLE
1015,1015,GAZAL GRAMFLOUR 2 KG,NOOR GAZAL GRAMFLOUR 2 KG,FINISHED GOODS,GRAM FLOUR,CEREALS & FLOUR,PILLOW,POWDER,2000,FFS MASALA
1016,1016,GAZAL GRAMFLOUR 1 KG,NOOR GAZAL GRAMFLOUR 1 KG,FINISHED GOODS,GRAM FLOUR,CEREALS & FLOUR,PILLOW,POWDER,1000,FFS MASALA
1017,1017,GAZAL GRAMFLOUR 400 GM,NOOR GAZAL GRAMFLOUR 400 GM,FINISHED GOODS,GRAM FLOUR,CEREALS & FLOUR,PILLOW,POWDER,400,MASALA TABLE
1020,1020,GAZAL SEMOLINA 1 KG,NOOR GAZAL SEMOLINA 1 KG,FINISHED GOODS,SEMOLINA,CEREALS & FLOUR,PILLOW,POWDER,1000,FFS MASALA
1021,1021,GAZAL SEMOLINA 400 GM.,NOOR GAZAL SEMOLINA 400 GM.,FINISHED GOODS,SEMOLINA,CEREALS & FLOUR,PILLOW,POWDER,400,MASALA TABLE
1026,1026,GAZAL BURGOL WHITE 1KG,NOOR GAZAL BURGOL WHITE 1KG,FINISHED GOODS,BURGOL WHITE,CEREALS & FLOUR,PILLOW,WHOLE,1000,NUTS SECTION
1031,1031,GAZAL HUB HAREES ( NOOR ) 1 KG,NOOR GAZAL HUB HAREES ( NOOR ) 1 KG,FINISHED GOODS,HUB HAREES NOOR,PEAS & LENTILES,PILLOW,WHOLE,1000,FFS DAL
1034,1034,GAZAL BROKEN RICE 1KG,NOOR GAZAL BROKEN RICE 1KG,FINISHED GOODS,BROKEN RICE,CEREALS & FLOUR,PILLOW,WHOLE,1000,NUTS SECTION
1035,1035,GAZAL BROKEN RICE 500GM,NOOR GAZAL BROKEN RICE 500GM,FINISHED GOODS,BROKEN RICE,CEREALS & FLOUR,PILLOW,WHOLE,500,NUTS SECTION
1038,1038,GAZAL SESAME SEEDS 300 GM,NOOR GAZAL SESAME SEEDS 300 GM,FINISHED GOODS,SESAME SEED,CEREALS & FLOUR,PILLOW,WHOLE,300,NUTS SECTION
1039,1039,GAZAL SESAME SEEDS 500 GM,NOOR GAZAL SESAME SEEDS 500 GM,FINISHED GOODS,SESAME SEEDS,CEREALS & FLOUR,PILLOW,WHOLE,500,NUTS SECTION
